lon	lat
-0.240648	51.5721943
-0.2406274	51.5721825
-0.2405986	51.5721799
-0.2405618	51.5721858
-0.2405217	51.5722158
-0.2404902	51.5722546
-0.2404529	51.5722856
-0.2403872	51.5723274
-0.2402913	51.5723621
-0.2402227	51.5723799
-0.2401525	51.5723833
-0.2400751	51.5723793
-0.2400365	51.5723682
-0.2400042	51.5723481
-0.2399822	51.5723245
-0.2399713	51.572299
-0.2399781	51.5722764
-0.2400612	51.5721837
-0.2400831	51.5721516
-0.2400751	51.5721219
-0.2400353	51.5720917
-0.2400085	51.5720839
-0.2399038	51.5720708
-0.2398427	51.5720713
-0.2398041	51.5720813
-0.2397486	51.5720927
-0.2396892	51.5720923
-0.2396225	51.5720844
-0.2395442	51.5720684
-0.23943	51.5720366
-0.2393659	51.5720288
-0.2393191	51.5720307
-0.2392832	51.5720386
-0.2392527	51.5720588
-0.239209	51.5720882
-0.2391369	51.5721481
-0.2390279	51.5722106
-0.2389771	51.5722303
-0.2389244	51.5722407
-0.2388745	51.5722348
-0.2388441	51.5722266
-0.2387118	51.5721384
-0.2386699	51.5721182
-0.2385738	51.5720449
-0.238534	51.5720072
-0.2385248	51.5719915
-0.2385149	51.5719656
-0.2384956	51.5719457
-0.2384691	51.5719294
-0.2384455	51.5719213
-0.2384216	51.5719219
-0.2384009	51.5719247
-0.238364	51.5719238
-0.2383316	51.5719175
-0.238306	51.5719056
-0.2382891	51.5718935
-0.2382757	51.5718761
-0.2382512	51.5718503
-0.2382263	51.5718334
-0.2381648	51.5718084
-0.2380751	51.5717838
-0.2380158	51.5717744
-0.2379832	51.5717756
-0.2379421	51.5717797
-0.2379066	51.5717898
-0.2378782	51.5718045
-0.2378649	51.5718256
-0.2378639	51.5718435
-0.2378742	51.5718731
-0.2379016	51.5719015
-0.2379505	51.57193
-0.2381388	51.5720021
-0.2381844	51.5720171
-0.238193	51.5720345
-0.2381853	51.5720683
-0.2381469	51.5720941
-0.2380893	51.572109
-0.2380246	51.5721022
-0.2379378	51.5720844
-0.2378407	51.5720913
-0.2377911	51.5721078
-0.2377437	51.5721343
-0.2377249	51.5721762
-0.2377235	51.5722125
-0.2377509	51.5722567
-0.2377796	51.5723034
-0.2377876	51.5723374
-0.2377835	51.5723807
-0.237746	51.5724185
-0.2376369	51.5724631
-0.2375797	51.5724681
-0.2375275	51.5724721
-0.2374112	51.5724279
-0.2373242	51.5723704
-0.2372152	51.5723481
-0.2371117	51.5723492
-0.2370538	51.5723688
-0.2367446	51.5724189
-0.2365556	51.5724273
-0.2363426	51.5724268
-0.236229	51.5724121
-0.2361352	51.5723732
-0.2360649	51.5723286
-0.2360308	51.5723072
-0.2359488	51.5722942
-0.2358841	51.5722949
-0.2358592	51.5723074
-0.2358414	51.5723315
-0.2358426	51.5723479
-0.2358581	51.5723931
-0.2359156	51.5724335
-0.2358891	51.5724844
-0.2358373	51.5725195
-0.2358122	51.5725353
-0.2357525	51.5725479
-0.2356705	51.572555
-0.2355051	51.5725444
-0.23545	51.5725255
-0.2354059	51.5724874
-0.2354009	51.5724538
-0.2354517	51.5724262
-0.2355067	51.5723962
-0.2355988	51.5723802
-0.2356879	51.5723537
-0.235694	51.572307
-0.2356451	51.5722676
-0.2355259	51.5722506
-0.2354926	51.5722528
-0.2353465	51.5722631
-0.2352383	51.5722615
-0.23517	51.572237
-0.2351031	51.5722126
-0.2350691	51.5721582
-0.2350562	51.5721027
-0.2350639	51.5720641
-0.2350545	51.5720408
-0.2350301	51.5720288
